,precision,recall,f1-score,support
0,0.5344827586206896,0.6595744680851063,0.5904761904761905,94.0
1,0.5569620253164557,0.946236559139785,0.701195219123506,93.0
2,0.8064516129032258,0.6097560975609756,0.6944444444444444,41.0
3,0.8356643356643356,0.9715447154471545,0.8984962406015038,246.0
4,0.8504273504273504,0.8844444444444445,0.8671023965141612,225.0
5,0.9652777777777778,0.8853503184713376,0.9235880398671097,157.0
6,0.6630434782608695,0.953125,0.782051282051282,128.0
7,0.6875,0.868421052631579,0.7674418604651163,76.0
8,1.0,0.9382022471910112,0.9681159420289855,178.0
9,0.8947368421052632,0.8095238095238095,0.85,147.0
10,0.9884393063583815,0.9827586206896551,0.9855907780979827,174.0
11,0.765625,0.8305084745762712,0.7967479674796748,177.0
12,0.8326180257510729,0.9371980676328503,0.8818181818181818,207.0
13,1.0,0.6894409937888198,0.8161764705882353,161.0
14,0.9076923076923077,0.9365079365079365,0.921875,63.0
15,0.9901477832512315,0.9733656174334141,0.9816849816849816,826.0
16,0.9281609195402298,0.938953488372093,0.9335260115606936,344.0
17,0.9444444444444444,0.9444444444444444,0.9444444444444444,54.0
18,0.5708502024291497,0.9463087248322147,0.7121212121212122,149.0
19,0.8761061946902655,0.8959276018099548,0.8859060402684564,221.0
20,1.0,0.6466666666666666,0.7854251012145749,150.0
21,0.8850574712643678,0.5133333333333333,0.6497890295358649,150.0
22,0.0,0.0,0.0,22.0
23,0.9393939393939394,0.5636363636363636,0.7045454545454546,55.0
24,0.9380530973451328,0.9724770642201835,0.954954954954955,763.0
25,0.9768339768339769,0.92,0.947565543071161,275.0
26,0.8222222222222222,0.891566265060241,0.8554913294797688,166.0
27,0.61,0.8970588235294118,0.7261904761904762,68.0
28,0.8715953307392996,0.7021943573667712,0.7777777777777778,319.0
29,0.4953271028037383,0.35333333333333333,0.41245136186770426,150.0
30,0.8625592417061612,0.6363636363636364,0.7323943661971831,286.0
31,0.66,0.6971830985915493,0.678082191780822,142.0
32,0.70042194092827,0.6264150943396226,0.6613545816733067,265.0
33,0.660436137071651,0.8446215139442231,0.7412587412587412,251.0
34,0.5725490196078431,0.6952380952380952,0.6279569892473118,210.0
35,0.9598445595854922,0.9227895392278954,0.940952380952381,803.0
36,0.7037037037037037,0.6909090909090909,0.6972477064220184,55.0
37,0.8990384615384616,0.7857142857142857,0.8385650224215246,238.0
accuracy,0.8465985976134826,0.8465985976134826,0.8465985976134826,0.8465985976134826
macro avg,0.7935701728941397,0.7884498222120411,0.7798633082165051,8129.0
weighted avg,0.8586096926802237,0.8465985976134826,0.8454323144039757,8129.0
